Label,Rules,Quality,Score
0,IF Feature_A>=3009.0 THEN Outcome=B ,0.9995004995,0.49950000000000006
0,IF Feature_A>=3009 THEN Outcome==B,0.9995004995004995,0.49950000000000006
0,IF Feature_A_noConstant_Feature>=3009 THEN Outcome==B,0.9995004995004995,0.0
1,IF Feature_C>=-2959.0 THEN Outcome=A ,0.999492643328,0.49950000000000006
1,IF Feature_C>=-2959 THEN Outcome==A,0.9994926433282597,0.49950000000000006
1,IF Feature_C_noConstant_Feature>=-2959 THEN Outcome==A,0.9994926433282597,0.0
2,IF TRUE THEN Outcome=A ,0.636363636364,0.0
